raw_transaction,upi_id,amount,transaction_type,recepient_type,category,bank,recepient_name
Shop Owner - [07:41:42 02-12-2022] INR 823 debited to mart.156@okhdfc,mart.156@okhdfc,-823,debit,merchant,shopping,okhdfc,mart
Shop Owner - [09:13:42 02-12-2022] INR 733 debited to vendor.249@okicici,vendor.249@okicici,-733,debit,merchant,shopping,okicici,vendor
Shop Owner - [17:15:42 02-12-2022] INR 771 debited to shop.869@okaxis,shop.869@okaxis,-771,debit,merchant,shopping,okaxis,shop
Shop Owner - [01:45:12 03-12-2022] INR 840 debited to mart.518@oksbi,mart.518@oksbi,-840,debit,merchant,shopping,oksbi,mart
Shop Owner - [05:38:05 03-12-2022] INR 1041 debited to mart.815@okicici,mart.815@okicici,-1041,debit,merchant,shopping,okicici,mart
Shop Owner - [19:01:22 04-12-2022] INR 16831 credited from seller.177@okaxis,seller.177@okaxis,16831,credit,merchant,shopping,okaxis,seller
Shop Owner - [20:00:49 05-12-2022] INR 773 debited to mart.518@oksbi,mart.518@oksbi,-773,debit,merchant,shopping,oksbi,mart
Shop Owner - [22:33:18 06-12-2022] INR 541 debited to mart.296@okaxis,mart.296@okaxis,-541,debit,merchant,shopping,okaxis,mart
Shop Owner - [18:07:23 11-12-2022] INR 751 credited from retail.961@okicici,retail.961@okicici,751,credit,merchant,shopping,okicici,retail
Shop Owner - [00:23:25 12-12-2022] INR 11058 debited to market.262@paytm,market.262@paytm,-11058,debit,merchant,shopping,paytm,market
Shop Owner - [06:07:33 12-12-2022] INR 287 credited from retail.961@okicici,retail.961@okicici,287,credit,merchant,shopping,okicici,retail
Shop Owner - [11:43:39 13-12-2022] INR 697 debited to market.128@oksbi,market.128@oksbi,-697,debit,merchant,shopping,oksbi,market
Shop Owner - [13:08:58 13-12-2022] INR 401 debited to market.909@okhdfc,market.909@okhdfc,-401,debit,merchant,shopping,okhdfc,market
Shop Owner - [06:46:37 14-12-2022] INR 1344 debited to mart.927@okaxis,mart.927@okaxis,-1344,debit,merchant,shopping,okaxis,mart
Shop Owner - [12:19:22 18-12-2022] INR 7173 debited to mart.404@oksbi,mart.404@oksbi,-7173,debit,merchant,shopping,oksbi,mart
Shop Owner - [11:57:18 25-12-2022] INR 1483 debited to mart.927@okaxis,mart.927@okaxis,-1483,debit,merchant,shopping,okaxis,mart
Shop Owner - [21:31:22 27-12-2022] INR 272 debited to store.522@okaxis,store.522@okaxis,-272,debit,merchant,shopping,okaxis,store
Shop Owner - [12:31:13 29-12-2022] INR 14947 credited from seller.177@okaxis,seller.177@okaxis,14947,credit,merchant,shopping,okaxis,seller
Shop Owner - [01:32:49 01-01-2023] INR 1225 debited to vendor.249@okicici,vendor.249@okicici,-1225,debit,merchant,shopping,okicici,vendor
Shop Owner - [10:59:49 01-01-2023] INR 960 debited to shop.869@okaxis,shop.869@okaxis,-960,debit,merchant,shopping,okaxis,shop
Shop Owner - [13:47:38 01-01-2023] INR 909 debited to mart.156@okhdfc,mart.156@okhdfc,-909,debit,merchant,shopping,okhdfc,mart
Shop Owner - [03:24:17 02-01-2023] INR 860 debited to store.522@okaxis,store.522@okaxis,-860,debit,merchant,shopping,okaxis,store
Shop Owner - [18:16:59 02-01-2023] INR 978 debited to seller.113@okhdfc,seller.113@okhdfc,-978,debit,merchant,shopping,okhdfc,seller
Shop Owner - [19:35:17 04-01-2023] INR 539 credited from mart.296@okaxis,mart.296@okaxis,539,credit,merchant,shopping,okaxis,mart
Shop Owner - [02:32:07 05-01-2023] INR 870 debited to seller.113@okhdfc,seller.113@okhdfc,-870,debit,merchant,shopping,okhdfc,seller
